question,answer
abolish,bãi bỏ
abortion,phá thai
absence,sự vắng mặt
absent,vắng mặt
absorb,hấp thụ
abstract,tóm tắt
absurd,vô lý
abundance,sự phong phú
abuse,lạm dụng
academy,học viện
accelerate,tăng tốc
accent,giọng
acceptance,sự chấp nhận
accessible,có thể truy cập
accidentally,vô tình
accommodate,chứa
accomplish,hoàn thành
accomplishment,thành tựu
accordance,phù hợp
accordingly,theo đó
accountability,trách nhiệm giải trình
accountable,chịu trách nhiệm
accountant,kế toán viên
accounting,kế toán
accumulate,tích lũy
accumulation,sự tích tụ
accuracy,sự chính xác
accurately,chính xác
accusation,lời buộc tội
accused,bị buộc tội
acid,axit
acquisition,sự mua lại
acre,mẫu Anh
activate,kích hoạt
activation,kích hoạt
activist,nhà hoạt động
acute,cấp tính
adaptation,sự thích nghi
addiction,nghiện ngập
additionally,ngoài ra
adequate,đủ
adequately,một cách đầy đủ
adhere,tuân thủ
adjacent,liền kề
adjust,điều chỉnh
adjustment,điều chỉnh
administer,quản lý
administrative,hành chính
administrator,quản trị viên
admission,sự nhập học
adolescent,thanh niên
adoption,sự nhận con nuôi
adverse,bất lợi
advocate,người ủng hộ
aesthetic,thẩm mỹ
affection,sự yêu mến
affordable,có thể chi trả
aftermath,hậu quả
aggression,sự xâm lược
agricultural,nông nghiệp
agriculture,nông nghiệp
aide,trợ lý
aids,AIDS
albeit,mặc dù
alert,báo động
alien,người ngoài hành tinh
align,căn chỉnh
alignment,sự liên kết
alike,như nhau
allegation,cáo buộc
allege,cáo buộc
allegedly,được cho là
alliance,liên minh
allocate,phân bổ
allocation,phân bổ
allowance,trợ cấp
ally,đồng minh
alongside,bên cạnh
altogether,toàn bộ
aluminium,nhôm
amateur,nghiệp dư
ambassador,đại sứ
ambulance,xe cứu thương
amend,sửa đổi
amendment,sửa đổi
amid,giữa
amusing,vui
analogy,sự tương tự
analyst,nhà phân tích
ancestor,tổ tiên
anchor,neo
angel,thiên thần
animation,hoạt hình
annually,hàng năm
anonymous,vô danh
anticipate,dự đoán
anxiety,sự lo lắng
apology,lời xin lỗi
apparatus,thiết bị
appealing,hấp dẫn
appetite,sự thèm ăn
applaud,vỗ tay
applicable,áp dụng
applicant,người xin việc
appoint,bổ nhiệm
appreciation,sự đánh giá cao
appropriately,một cách thích hợp
arbitrary,tùy ý
architectural,kiến trúc
archive,lưu trữ
arena,đấu trường
arguably,có thể nói là
arm,cánh tay
array,mảng
arrow,mũi tên
articulate,rõ ràng
artwork,tác phẩm nghệ thuật
ash,tro
aside,sang một bên
aspiration,khát vọng
aspire,khao khát
assassination,vụ ám sát
assault,tấn công
assemble,lắp ráp
assembly,cuộc họp
assert,khẳng định
assertion,khẳng định
asset,tài sản
assign,giao phó
assistance,hỗ trợ
assumption,giả định
assurance,sự đảm bảo
assure,đảm bảo
astonishing,đáng kinh ngạc
asylum,tị nạn
atrocity,sự tàn bạo
attachment,sự gắn bó
attain,đạt được
attendance,sự tham dự
attorney,luật sư
attribute,thuộc tính
auction,đấu giá
audio,âm thanh
audit,kiểm toán
authentic,thật
authorize,ủy quyền
auto,tự động
automatic,tự động
automatically,tự động
autonomy,quyền tự chủ
availability,khả năng sẵn có
await,chờ đợi
awareness,nhận thức
awkward,vụng về
backdrop,bối cảnh
backing,ủng hộ
backup,hỗ trợ
badge,huy hiệu
bail,tiền bảo lãnh
balanced,cân bằng
ballet,múa ba lê
balloon,bóng bay
ballot,lá phiếu
banner,ngọn cờ
bare,trần trụi
barely,hầu như không
bargain,mặc cả
barrel,thùng
basement,tầng hầm
basket,rổ
bass,cá vược
bat,dơi
battlefield,chiến trường
bay,vịnh
beam,chùm tia
beast,con thú
behalf,thay mặt
beloved,được yêu mến
bench,băng ghế
benchmark,chuẩn mực
beneath,bên dưới
beneficial,có lợi
beneficiary,người thụ hưởng
beside,bên cạnh
besides,bên cạnh đó
betray,phản bội
bias,sự thiên vị
bid,đấu thầu
bind,ràng buộc
biography,tiểu sử
biological,sinh học
bishop,giám mục
bizarre,kỳ lạ
blade,lưỡi kiếm
blanket,cái chăn
blast,vụ nổ
bleed,chảy máu
blend,trộn
bless,ban phước
blessing,phước lành
blow,thổi
boast,khoe khoan
bold,in đậm
bombing,vụ đánh bom
bonus,thưởng
booking,đặt phòng
boom,bùng nổ
boost,tăng
bounce,tung lên
bound,ràng buộc
boundary,ranh giới
bow,cây cung
breach,sự vi phạm
breakdown,sự cố
breakthrough,đột phá
breed,giống
brick,gạch
briefly,tóm lại
broadband,băng thông rộng
broadcaster,phát thanh viên
broadly,rộng rãi
browser,trình duyệt
brutal,tàn bạo
buck,con nai đực
buddy,bạn bè
buffer,bộ đệm
bug,sâu bọ
bulk,số lượng lớn
burden,gánh nặng
bureaucracy,bộ máy quan liêu
burial,chôn cất
burst,bùng nổ
cabin,cabin
cabinet,tủ
calculation,tính toán
canal,kênh đào
candle,nến
canvas,vải bạt
capability,khả năng
capitalism,chủ nghĩa tư bản
capitalist,nhà tư bản
