question,answer
abridgment,sự tóm tắt
abruptly,đột ngột
accelerate,tăng tốc
accrue,tích lũy
acquisition,sự mua lại
adjourn,hoãn lại
aggravate,làm trầm trọng thêm
agricultural,nông nghiệp
airsickness,say máy bay
alleviate,làm giảm bớt
allegedly,được cho là
amenity,tiện nghi
annex,phụ lục
antibiotic,thuốc kháng sinh
apparatus,thiết bị
arbitration,trọng tài
asthma,hen suyễn
astonishingly,thật đáng kinh ngạc
astute,khôn ngoan
blemish,vết bẩn
botanical,thuộc thực vật
brisk,nhanh nhẹn
bureaucracy,bộ máy quan liêu
canopy,tán cây
carpentry,nghề mộc
cloakroom,phòng để đồ
coil,xôn xao
collateral,tài sản thế chấp
commemorate,kỷ niệm
commensurate,tương xứng
commend,khen ngợi
concourse,sảnh chờ
concession,nhượng bộ
concierge,người gác cổng
condense,ngưng tụ
confiscate,tịch thu
confront,đối đầu
conglomerate,tập đoàn
consolidate,hợp nhất
contender,ứng cử viên
contestant,thí sinh
contingency,sự bất trắc
contrive,nghĩ ra
cordially,trân trọng
corridor,hành lang
corrosion,sự ăn mòn
counterfeit,hàng giả
courier,người đưa thư
courteous,lịch sự
decaffeinated,không chứa caffein
defiance,sự thách thức
deflate,xì hơi
deliberate,cố ý
deprivation,sự tước đoạt
disease,bệnh
disorient,mất phương hướng
dispute,tranh luận
disturb,quấy rầy
dosage,liều lượng
eagerness,sự háo hức
drape,treo lên
economize,tiết kiệm
enactment,ban hành
drench,ngâm mình
elderly,người già
endurance,sức bền
elaborate,phức tạp
endorsement,sự chứng thực
energetic,mãnh liệt
engrave,khắc
elicit,gợi ra
eloquent,hùng hồn
envision,hình dung
epidemic,bệnh dịch
escort,hộ tống
escape,bỏ trốn
evacuate,sơ tán
evolve,tiến hóa
extinction,sự tuyệt chủng
extravagance,sự xa hoa
excavation,moi lên
exposition,trình bày
exquisite,tinh tế
eradicate,xóa bỏ
forage,thức ăn gia súc
forfeit,bị tịch thu
forgery,sự làm giả
fragile,dễ vỡ
franchise,nhượng quyền thương mại
frankly,thẳng thắn
frosting,kem phủ
gadget,tiện ích
garlic,tỏi
garment,quần áo
garner,thu thập
garnish,trang trí
gauge,thước đo
genuine,thành thật
germ,mầm bệnh
gesture,cử chỉ
glassware,đồ thủy tinh
gourmet,người sành ăn
grasp,nắm bắt
gratified,hài lòng
gratis,miễn phí
gratuity,tiền boa
grazing,chăn thả
grease,mỡ
gusty,gió giật
harsh,thô ráp
harm,làm hại
hectic,bận rộn
heritage,di sản
hospitality,lòng hiếu khách
granularity,độ chi tiết
disambiguate,làm rõ nghĩa
hurdle,rào cản
hygiene,vệ sinh
impede,cản trở
immune,miễn dịch
impose,áp đặt
inaugurate,khánh thành
indulge,nuông chiều
infection,sự nhiễm trùng
inflation,lạm phát
inflict,gây ra
infringement,vi phạm
inhabit,cư trú
innate,bẩm sinh
inquiry,cuộc điều tra
inquire,hỏi thăm
insomnia,mất ngủ
insolvent,mất khả năng thanh toán
insistent,van lơn
instaliment,trả góp
intake,lượng tiêu thụ
insult,sự sỉ nhục
intriguingly,một cách thú vị
ironing,ủi đồ
irreversible,không thể đảo ngược
irrigation system,hệ thống tưới tiêu
manuscript,bản thảo
meditate,thiền định
mediate,trung gian
menace,mối đe dọa
merit,công lao
metaphor,ẩn dụ
metropolitan area,khu vực đô thị
mindful,chánh niệm
mingle,giao lưu
moderate,vừa phải
modestly,khiêm tốn
monopoly,độc quyền
mortgage,thế chấp
multilateral,đa phương
multistory,nhiều tầng
fabricate,chế tạo
